vPolSeaveyGain_dBi	FreqsMHz
-15.7410952598	98.876953125
-14.9454096388	100.09765625
-14.2069979472	101.318359375
-13.5059427787	102.5390625
-12.8314909119	103.759765625
-12.1752992825	104.98046875
-11.5323092647	106.201171875
-10.8999771681	107.421875
-10.2759084689	108.642578125
-9.65670421573	109.86328125
-9.03960523993	111.083984375
-8.42526806565	112.3046875
-7.81856067595	113.525390625
-7.22645487503	114.74609375
-6.65569304752	115.966796875
-6.11360197686	117.1875
-5.61157177094	118.408203125
-5.16642307442	119.62890625
-4.79556218713	120.849609375
-4.50786173045	122.0703125
-4.29793975953	123.291015625
-4.14954116602	124.51171875
-4.04482223312	125.732421875
-3.97084572227	126.953125
-3.91835829709	128.173828125
-3.87630037484	129.39453125
-3.82986306165	130.615234375
-3.76515066893	131.8359375
-3.67519578307	133.056640625
-3.56047985876	134.27734375
-3.42336736415	135.498046875
-3.2626439034	136.71875
-3.0741176156	137.939453125
-2.85582560979	139.16015625
-2.61113584223	140.380859375
-2.3465316996	141.6015625
-2.06814117751	142.822265625
-1.78279026899	144.04296875
-1.50294281666	145.263671875
-1.24821714792	146.484375
-1.03800033087	147.705078125
-0.879565278632	148.92578125
-0.763604027005	150.146484375
-0.672875660605	151.3671875
-0.595897777253	152.587890625
-0.533259505515	153.80859375
-0.491453026582	155.029296875
-0.470370241673	156.25
-0.457501688719	157.470703125
-0.435046333181	158.69140625
-0.391847863707	159.912109375
-0.328757061372	161.1328125
-0.254479439942	162.353515625
-0.177227706043	163.57421875
-0.0994230813743	164.794921875
-0.0181622211997	166.015625
0.0715399896894	167.236328125
0.174174420734	168.45703125
0.29192677353	169.677734375
0.422680826823	170.8984375
0.559188287406	172.119140625
0.692042943274	173.33984375
0.816033690112	174.560546875
0.934571929213	175.78125
1.05715532772	177.001953125
1.19189534951	178.22265625
1.3406593179	179.443359375
1.5016025483	180.6640625
1.67578017109	181.884765625
1.8696725713	183.10546875
2.09003921235	184.326171875
2.33651708375	185.546875
2.60005846297	186.767578125
2.86960670475	187.98828125
3.14105272533	189.208984375
3.41942534533	190.4296875
3.71234314397	191.650390625
4.02219057494	192.87109375
4.34467820194	194.091796875
4.67380557988	195.3125
5.00683709606	196.533203125
5.34377463572	197.75390625
5.68262958837	198.974609375
6.0163592512	200.1953125
6.33464119346	201.416015625
6.62780296884	202.63671875
6.88819712227	203.857421875
7.10826454515	205.078125
7.2793198446	206.298828125
7.39459461461	207.51953125
7.45473389093	208.740234375
7.46987630358	209.9609375
7.45510229403	211.181640625
7.42311201956	212.40234375
7.38109816501	213.623046875
7.33432335372	214.84375
7.29154036178	216.064453125
7.26493355563	217.28515625
7.26331150609	218.505859375
7.28527755491	219.7265625
7.3202137201	220.947265625
7.35809647376	222.16796875
7.39943087399	223.388671875
7.45421482808	224.609375
7.52981073897	225.830078125
7.61911756693	227.05078125
7.69960654708	228.271484375
7.74485695434	229.4921875
7.73994732045	230.712890625
7.68741563298	231.93359375
7.59963245872	233.154296875
7.48701310795	234.375
7.35308277453	235.595703125
7.1991514809	236.81640625
7.03255376681	238.037109375
6.86884363791	239.2578125
6.72472506899	240.478515625
6.60888484101	241.69921875
6.51975455736	242.919921875
6.45191935555	244.140625
6.40464574116	245.361328125
6.38405052274	246.58203125
6.39712503418	247.802734375
6.44387590595	249.0234375
6.51468525883	250.244140625
6.59497034244	251.46484375
6.67346356855	252.685546875
6.74721407767	253.90625
6.81888777105	255.126953125
6.88882137149	256.34765625
6.94854613044	257.568359375
6.98110295546	258.7890625
6.96906330325	260.009765625
6.90540277693	261.23046875
6.79834061328	262.451171875
6.66537190886	263.671875
6.52177202345	264.892578125
6.37333039711	266.11328125
6.21861232967	267.333984375
6.05802763961	268.5546875
5.90068614778	269.775390625
5.76177908727	270.99609375
5.65332543644	272.216796875
5.57785591689	273.4375
5.53083668324	274.658203125
5.5088475831	275.87890625
5.5149503146	277.099609375
5.55591455903	278.3203125
5.63498809034	279.541015625
5.74785912064	280.76171875
5.88486526219	281.982421875
6.03604052172	283.203125
6.19379781211	284.423828125
6.35191550304	285.64453125
6.50397374757	286.865234375
6.64397131938	288.0859375
6.76791038982	289.306640625
6.87350419997	290.52734375
6.95795851016	291.748046875
7.0169682636	292.96875
7.04721981286	294.189453125
7.05046038016	295.41015625
7.03460983471	296.630859375
7.0102049091	297.8515625
6.98555055996	299.072265625
6.96492105369	300.29296875
6.95035498755	301.513671875
6.94401630167	302.734375
6.9486551284	303.955078125
6.9670329101	305.17578125
7.00238832392	306.396484375
7.0593804367	307.6171875
7.14268927559	308.837890625
7.25270456339	310.05859375
7.38213553564	311.279296875
7.51811840023	312.5
7.6493890261	313.720703125
7.77177846176	314.94140625
7.88600333789	316.162109375
7.990471064	317.3828125
8.07764094308	318.603515625
8.13829963286	319.82421875
8.16920373958	321.044921875
8.17545738358	322.265625
8.16500031222	323.486328125
8.14211613251	324.70703125
8.10792851863	325.927734375
8.06705576773	327.1484375
8.0311887772	328.369140625
8.01326375709	329.58984375
8.01747393762	330.810546875
8.03609323667	332.03125
8.05789628771	333.251953125
8.08074631948	334.47265625
8.11463036386	335.693359375
8.17134990309	336.9140625
8.25217586053	338.134765625
8.34579790733	339.35546875
8.43777940592	340.576171875
8.52159055738	341.796875
8.59978435703	343.017578125
8.67508098568	344.23828125
8.74189125142	345.458984375
8.78665244715	346.6796875
8.79584318194	347.900390625
8.76390953847	349.12109375
8.69450141119	350.341796875
8.59571114839	351.5625
8.47503758589	352.783203125
8.3378708467	354.00390625
8.18884452906	355.224609375
8.03351331637	356.4453125
7.87867545549	357.666015625
7.73105768927	358.88671875
7.59496817689	360.107421875
7.47039900805	361.328125
7.35367227873	362.548828125
7.24132721898	363.76953125
7.1342680355	364.990234375
7.03731524291	366.2109375
6.95342601913	367.431640625
6.87839539151	368.65234375
6.80281410445	369.873046875
6.72098975518	371.09375
6.6375016342	372.314453125
6.56253978529	373.53515625
6.49934679813	374.755859375
6.43650854729	375.9765625
6.354757561	377.197265625
6.24481808383	378.41796875
6.11843581699	379.638671875
5.99894595289	380.859375
5.90113203434	382.080078125
