hPolSeaveyGain_dBi	FreqsMHz
-15.0029123378	98.876953125
-14.4969753366	100.09765625
-13.9775387051	101.318359375
-13.4434897261	102.5390625
-12.8948936626	103.759765625
-12.3328721528	104.98046875
-11.7603040236	106.201171875
-11.1808191308	107.421875
-10.5965923726	108.642578125
-10.0075290112	109.86328125
-9.41324385468	111.083984375
-8.81610073121	112.3046875
-8.22219786716	113.525390625
-7.63939264099	114.74609375
-7.07506035943	115.966796875
-6.53697229395	117.1875
-6.03681972324	118.408203125
-5.59161315947	119.62890625
-5.21886065935	120.849609375
-4.92746613376	122.0703125
-4.71202333763	123.291015625
-4.55621209796	124.51171875
-4.44210058177	125.732421875
-4.35666417095	126.953125
-4.29059541	128.173828125
-4.23285463181	129.39453125
-4.16876665126	130.615234375
-4.08469718034	131.8359375
-3.97401969156	133.056640625
-3.83751407104	134.27734375
-3.6776716393	135.498046875
-3.49321969141	136.71875
-3.27986941779	137.939453125
-3.03572677038	139.16015625
-2.76452022111	140.380859375
-2.47338146456	141.6015625
-2.1692709994	142.822265625
-1.85988422864	144.04296875
-1.55844952491	145.263671875
-1.28514109004	146.484375
-1.05964133271	147.705078125
-0.889255207829	148.92578125
-0.764476209419	150.146484375
-0.667685545088	151.3671875
-0.586899100234	152.587890625
-0.522131209609	153.80859375
-0.479268069446	155.029296875
-0.457596266131	156.25
-0.444023367126	157.470703125
-0.420198994543	158.69140625
-0.374451790691	159.912109375
-0.307142335924	161.1328125
-0.2264932361	162.353515625
-0.140219933047	163.57421875
-0.050212321828	164.794921875
0.0470080387467	166.015625
0.157034448797	167.236328125
0.284954468647	168.45703125
0.433443548477	169.677734375
0.600604298377	170.8984375
0.77889611856	172.119140625
0.957818709574	173.33984375
1.13001705607	174.560546875
1.29567974821	175.78125
1.46039099679	177.001953125
1.62850591171	178.22265625
1.79930542253	179.443359375
1.97017293129	180.6640625
2.1431406367	181.884765625
2.3267890623	183.10546875
2.53035113963	184.326171875
2.7557658834	185.546875
2.99585401553	186.767578125
3.24093993011	187.98828125
3.48786213212	189.208984375
3.74225443737	190.4296875
4.01208868618	191.650390625
4.29992707647	192.87109375
4.60154076167	194.091796875
4.91091490359	195.3125
5.22525371613	196.533203125
5.54447265381	197.75390625
5.86648305348	198.974609375
6.18413644551	200.1953125
6.48700367832	201.416015625
6.7653073553	202.63671875
7.01129829427	203.857421875
7.21731957954	205.078125
7.37459221986	206.298828125
7.47625853809	207.51953125
7.52287874216	208.740234375
7.5245113189	209.9609375
7.49616172318	211.181640625
7.45046108216	212.40234375
7.39454023071	213.623046875
7.33360886928	214.84375
7.27637814993	216.064453125
7.23500521019	217.28515625
7.21828969245	218.505859375
7.22484907499	219.7265625
7.24410818155	220.947265625
7.26612126678	222.16796875
7.29151283835	223.388671875
7.3304484066	224.609375
7.39051147765	225.830078125
7.46487847655	227.05078125
7.53135309691	228.271484375
7.56389447019	229.4921875
7.54799264714	230.712890625
7.48660367025	231.93359375
7.39248835793	233.154296875
7.27638332276	234.375
7.14202328348	235.595703125
6.99077905875	236.81640625
6.82987470672	238.037109375
6.6745812114	239.2578125
6.54116938623	240.478515625
6.43778502442	241.69921875
6.3622641328	242.919921875
6.30859466302	244.140625
6.27548777913	245.361328125
6.26857548176	246.58203125
6.29444820667	247.802734375
6.35279638336	249.0234375
6.43376300641	250.244140625
6.52259138538	251.46484375
6.60789232456	252.685546875
6.68663412263	253.90625
6.76143367245	255.126953125
6.8326049472	256.34765625
6.891680858	257.568359375
6.921730465	258.7890625
6.90538603336	260.009765625
6.83572695055	261.23046875
6.72113358338	262.451171875
6.57933739481	263.671875
6.42594544267	264.892578125
6.26719390637	266.11328125
6.10222477909	267.333984375
5.93215799663	268.5546875
5.76693023584	269.775390625
5.62263022278	270.99609375
5.51216338208	272.216796875
5.43882106319	273.4375
5.39857253362	274.658203125
5.38812438317	275.87890625
5.41021758598	277.099609375
5.47085585848	278.3203125
5.57215514109	279.541015625
5.70844238812	280.76171875
5.86862315762	281.982421875
6.04137361437	283.203125
6.21792869454	284.423828125
6.39112394576	285.64453125
6.55383969556	286.865234375
6.69959088256	288.0859375
6.82406651168	289.306640625
6.92478892498	290.52734375
6.99885463162	291.748046875
7.04190405154	292.96875
7.05061260694	294.189453125
7.02676468822	295.41015625
6.97838446532	296.630859375
6.91621217768	297.8515625
6.84889866767	299.072265625
6.78125774379	300.29296875
6.71611559909	301.513671875
6.65672137813	302.734375
6.60724121356	303.955078125
6.57218553808	305.17578125
6.55683069363	306.396484375
6.56805919432	307.6171875
6.61279622725	308.837890625
6.69348590052	310.05859375
6.80447092523	311.279296875
6.93389705214	312.5
7.07075666681	313.720703125
7.2103616225	314.94140625
7.35222247686	316.162109375
7.49302962147	317.3828125
7.62323355961	318.603515625
7.731535899	319.82421875
7.81270827837	321.044921875
7.8700894733	322.265625
7.91013547937	323.486328125
7.93594243832	324.70703125
7.94772506336	325.927734375
7.94943529196	327.1484375
7.95229752939	328.369140625
7.96893933243	329.58984375
8.00336601808	330.810546875
8.0477539551	332.03125
8.09084718322	333.251953125
8.13052824727	334.47265625
8.17684174897	335.693359375
8.24167767936	336.9140625
8.32642247053	338.134765625
8.41990693027	339.35546875
8.50786174577	340.576171875
8.58395265106	341.796875
8.65095952132	343.017578125
8.71186477107	344.23828125
8.76138146525	345.458984375
8.78629430108	346.6796875
8.77347976476	347.900390625
8.71783747458	349.12109375
8.62353110358	350.341796875
8.4992304001	351.5625
8.3530766374	352.783203125
8.19116597492	354.00390625
8.0188963723	355.224609375
